season,team_name,location,stadium_name,stadium_capacity,average_attendance,manager_name,promoted,captain
2020/2021,Chelsea,London (Fulham),Stamford Bridge,40834,526,Thomas Tuchel,False,César Azpilicueta
2020/2021,Crystal Palace,London (Selhurst),Selhurst Park,25486,447,Roy Hodgson,False,Luka Milivojević
2020/2021,Everton,Liverpool (Walton),Goodison Park,39414,368,Carlo Ancelotti,False,Séamus Coleman
2020/2021,Fulham,London (Fulham),Craven Cottage,19359,211,Scott Parker,True,Tom Cairney
2020/2021,Leeds United,Leeds,Elland Road,37792,421,Marcelo Bielsa,True,Liam Cooper
2020/2021,Leicester City,Leicester,King Power Stadium,32261,421,Brendan Rodgers,False,Wes Morgan
2020/2021,Liverpool,Liverpool (Anfield),Anfield,53394,837,Jürgen Klopp,False,Jordan Henderson
2020/2021,Manchester City,Manchester (Bradford),City of Manchester Stadium,55017,526,Pep Guardiola,False,Fernandinho
2020/2021,Manchester United,Manchester (Old Trafford),Old Trafford,74140,526,Ole Gunnar Solskjær,False,Harry Maguire
2020/2021,Newcastle United,Newcastle upon Tyne,St James' Park,52305,526,Steve Bruce,False,Jamaal Lascelles
2020/2021,Sheffield United,Sheffield,Bramall Lane,32050,263,Chris Wilder,False,Billy Sharp
2020/2021,Southampton,Southampton,St Mary's Stadium,32384,526,Ralph Hasenhüttl,False,James Ward-Prowse
2020/2021,Tottenham Hotspur,London (Tottenham),Tottenham Hotspur Stadium,62303,632,José Mourinho,False,Hugo Lloris
2020/2021,West Bromwich Albion,West Bromwich,The Hawthorns,26688,276,Sam Allardyce,False,Jake Livermore
2020/2021,West Ham United,London (Stratford),London Stadium,60000,632,David Moyes,True,Mark Noble
2020/2021,Wolverhampton Wanderers,Wolverhampton,Molineux Stadium,32050,237,Nuno Espírito Santo,False,Conor Coady
2021/2022,Arsenal,London (Holloway),Emirates Stadium,60704,59776,Mikel Arteta,False,Alexandre Lacazette
2021/2022,Aston Villa,Birmingham,Villa Park,42682,41838,Steven Gerrard,False,Tyrone Mings
2021/2022,Brentford,London (Brentford),Brentford Community Stadium,17250,16912,Thomas Frank,True,Pontus Jansson
2021/2022,Brighton & Hove Albion,Falmer,Falmer Stadium,31800,30988,Graham Potter,False,Lewis Dunk
2021/2022,Burnley,Burnley,Turf Moor,21944,19189,Sean Dyche,False,Ben Mee
2021/2022,Chelsea,London (Fulham),Stamford Bridge,40834,36424,Thomas Tuchel,False,César Azpilicueta
2021/2022,Crystal Palace,London (Selhurst),Selhurst Park,25486,24282,Patrick Vieira,False,Luka Milivojević
2021/2022,Everton,Liverpool (Walton),Goodison Park,39414,38441,Frank Lampard,False,Séamus Coleman
2021/2022,Leeds United,Leeds,Elland Road,37792,36308,Jesse Marsch,False,Liam Cooper
2021/2022,Leicester City,Leicester,King Power Stadium,32312,32061,Brendan Rodgers,False,Kasper Schmeichel
2021/2022,Liverpool,Liverpool (Anfield),Anfield,53394,53027,Jürgen Klopp,False,Jordan Henderson
2021/2022,Manchester City,Manchester (Bradford),City of Manchester Stadium,53400,52739,Pep Guardiola,False,Fernandinho
2021/2022,Manchester United,Manchester (Old Trafford),Old Trafford,74140,72992,Ralf Rangnick (interim),False,Harry Maguire
2021/2022,Newcastle United,Newcastle upon Tyne,St James' Park,52305,51487,Eddie Howe,False,Jamaal Lascelles
